Year,Year ending,Local Government Area,Offence Subdivision,Offence Group,CSA Drug Type,Offence Count
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,9
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Heroin,19
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,19
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,7
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,1
2023,December,Banyule,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,14
2023,December,Banyule,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,31
2023,December,Banyule,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Banyule,C30 Drug use and possession,C31 Drug use,Heroin,1
2023,December,Banyule,C30 Drug use and possession,C31 Drug use,Methylamphetamine,2
2023,December,Banyule,C30 Drug use and possession,C31 Drug use,Not Recorded,2
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Amphetamine,4
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Cannabis,123
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Cocaine,12
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Ecstasy,7
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,GHB,30
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Heroin,9
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,114
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Not Recorded,46
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Other,11
2023,December,Banyule,C30 Drug use and possession,C32 Drug possession,Prescription,65
2023,December,Banyule,C90 Other drug offences,C99 Other drug offences,Not Coded,60
2023,December,Bass Coast,C10 Drug dealing and trafficking,C11 Drug dealing,Not Recorded,2
2023,December,Bass Coast,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,3
2023,December,Bass Coast,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,1
2023,December,Bass Coast,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,1
2023,December,Bass Coast,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,4
2023,December,Bass Coast,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,1
2023,December,Bass Coast,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,6
2023,December,Bass Coast,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,5
2023,December,Bass Coast,C30 Drug use and possession,C31 Drug use,Amphetamine,2
2023,December,Bass Coast,C30 Drug use and possession,C31 Drug use,Cannabis,2
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Amphetamine,3
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Cannabis,43
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Cocaine,2
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Ecstasy,2
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,GHB,7
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,20
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Not Recorded,7
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Other,2
2023,December,Bass Coast,C30 Drug use and possession,C32 Drug possession,Prescription,8
2023,December,Baw Baw,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,8
2023,December,Baw Baw,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,2
2023,December,Baw Baw,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,7
2023,December,Baw Baw,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,11
2023,December,Baw Baw,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,1
2023,December,Baw Baw,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,6
2023,December,Baw Baw,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,20
2023,December,Baw Baw,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Amphetamine,9
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Cannabis,56
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Cocaine,3
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Ecstasy,2
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,GHB,16
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Heroin,1
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,50
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Not Recorded,10
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Other,2
2023,December,Baw Baw,C30 Drug use and possession,C32 Drug possession,Prescription,36
2023,December,Bayside,C10 Drug dealing and trafficking,C11 Drug dealing,Not Recorded,1
2023,December,Bayside,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,2
2023,December,Bayside,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,4
2023,December,Bayside,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,1
2023,December,Bayside,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,3
2023,December,Bayside,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,2
2023,December,Bayside,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,5
2023,December,Bayside,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,2
2023,December,Bayside,C30 Drug use and possession,C31 Drug use,Amphetamine,1
2023,December,Bayside,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Bayside,C30 Drug use and possession,C31 Drug use,Cocaine,1
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Amphetamine,2
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Cannabis,43
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Cocaine,7
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Ecstasy,4
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,GHB,8
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Heroin,3
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,38
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Not Recorded,7
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Other,2
2023,December,Bayside,C30 Drug use and possession,C32 Drug possession,Prescription,30
2023,December,Benalla,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,2
2023,December,Benalla,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,1
2023,December,Benalla,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,4
2023,December,Benalla,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,1
2023,December,Benalla,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,4
2023,December,Benalla,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,1
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Amphetamine,2
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Cannabis,34
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Cocaine,1
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Ecstasy,1
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,GHB,3
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,25
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Not Recorded,9
2023,December,Benalla,C30 Drug use and possession,C32 Drug possession,Prescription,23
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,3
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,5
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,8
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,1
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,3
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Heroin,2
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,5
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,17
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,2
2023,December,Boroondara,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,5
2023,December,Boroondara,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,14
2023,December,Boroondara,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,12
2023,December,Boroondara,C30 Drug use and possession,C31 Drug use,Cocaine,1
2023,December,Boroondara,C30 Drug use and possession,C31 Drug use,GHB,1
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Amphetamine,4
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Cannabis,61
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Cocaine,8
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Ecstasy,5
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,GHB,14
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Heroin,11
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,41
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Not Recorded,28
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Other,5
2023,December,Boroondara,C30 Drug use and possession,C32 Drug possession,Prescription,50
2023,December,Boroondara,C90 Other drug offences,C99 Other drug offences,Not Coded,36
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,29
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,6
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,2
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,7
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Heroin,31
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,52
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,26
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,3
2023,December,Brimbank,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,6
2023,December,Brimbank,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,60
2023,December,Brimbank,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,28
2023,December,Brimbank,C30 Drug use and possession,C31 Drug use,Amphetamine,2
2023,December,Brimbank,C30 Drug use and possession,C31 Drug use,Cannabis,3
2023,December,Brimbank,C30 Drug use and possession,C31 Drug use,Heroin,2
2023,December,Brimbank,C30 Drug use and possession,C31 Drug use,Methylamphetamine,3
2023,December,Brimbank,C30 Drug use and possession,C31 Drug use,Not Recorded,2
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Amphetamine,15
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Cannabis,245
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Cocaine,24
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Ecstasy,27
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,GHB,39
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Heroin,114
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,217
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Not Recorded,50
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Other,6
2023,December,Brimbank,C30 Drug use and possession,C32 Drug possession,Prescription,170
2023,December,Brimbank,C90 Other drug offences,C99 Other drug offences,Not Coded,5
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,2
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,2
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,3
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,5
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,1
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,1
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,3
2023,December,Buloke,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,3
2023,December,Buloke,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,3
2023,December,Buloke,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,1
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Amphetamine,8
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Cannabis,24
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Cocaine,14
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Ecstasy,27
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,GHB,8
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,4
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Not Recorded,21
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Other,42
2023,December,Buloke,C30 Drug use and possession,C32 Drug possession,Prescription,2
2023,December,Campaspe,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,1
2023,December,Campaspe,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,6
2023,December,Campaspe,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,2
2023,December,Campaspe,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,8
2023,December,Campaspe,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,1
2023,December,Campaspe,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Amphetamine,8
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Cannabis,51
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Cocaine,4
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Ecstasy,1
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,GHB,3
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Heroin,3
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,31
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Not Recorded,8
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Other,2
2023,December,Campaspe,C30 Drug use and possession,C32 Drug possession,Prescription,9
2023,December,Cardinia,C10 Drug dealing and trafficking,C11 Drug dealing,Not Recorded,1
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,11
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,3
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,3
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,4
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,8
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,7
2023,December,Cardinia,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,4
2023,December,Cardinia,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,10
2023,December,Cardinia,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,17
2023,December,Cardinia,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Cardinia,C30 Drug use and possession,C31 Drug use,Methylamphetamine,1
2023,December,Cardinia,C30 Drug use and possession,C31 Drug use,Not Recorded,1
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Amphetamine,3
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Cannabis,114
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Cocaine,15
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Ecstasy,3
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,GHB,21
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Heroin,2
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,55
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Not Recorded,23
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Other,6
2023,December,Cardinia,C30 Drug use and possession,C32 Drug possession,Prescription,29
2023,December,Cardinia,C90 Other drug offences,C99 Other drug offences,Not Coded,7
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,1
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,54
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,18
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,5
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,15
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Heroin,6
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,66
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,13
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,19
2023,December,Casey,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,3
2023,December,Casey,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,54
2023,December,Casey,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,81
2023,December,Casey,C30 Drug use and possession,C31 Drug use,Amphetamine,1
2023,December,Casey,C30 Drug use and possession,C31 Drug use,GHB,1
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Amphetamine,18
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Cannabis,303
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Cocaine,36
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Ecstasy,27
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,GHB,55
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Heroin,14
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,206
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Not Recorded,90
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Other,33
2023,December,Casey,C30 Drug use and possession,C32 Drug possession,Prescription,192
2023,December,Casey,C90 Other drug offences,C99 Other drug offences,Not Coded,4
2023,December,Central Goldfields,C10 Drug dealing and trafficking,C11 Drug dealing,Not Recorded,8
2023,December,Central Goldfields,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,4
2023,December,Central Goldfields,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,1
2023,December,Central Goldfields,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,6
2023,December,Central Goldfields,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,1
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Cannabis,18
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Cocaine,1
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Ecstasy,2
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,GHB,2
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,13
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Not Recorded,3
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Other,1
2023,December,Central Goldfields,C30 Drug use and possession,C32 Drug possession,Prescription,6
2023,December,Colac-Otway,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,4
2023,December,Colac-Otway,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,2
2023,December,Colac-Otway,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,3
2023,December,Colac-Otway,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,1
2023,December,Colac-Otway,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,4
2023,December,Colac-Otway,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,1
2023,December,Colac-Otway,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,Amphetamine,1
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,Cannabis,45
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,GHB,3
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,20
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,Not Recorded,3
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,Other,5
2023,December,Colac-Otway,C30 Drug use and possession,C32 Drug possession,Prescription,6
2023,December,Corangamite,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,1
2023,December,Corangamite,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,1
2023,December,Corangamite,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,3
2023,December,Corangamite,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,2
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Amphetamine,2
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Cannabis,12
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Cocaine,1
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Ecstasy,1
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,6
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Not Recorded,1
2023,December,Corangamite,C30 Drug use and possession,C32 Drug possession,Prescription,6
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,2
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,18
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,9
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,7
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,13
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Heroin,4
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,32
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Not Recorded,12
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Other,6
2023,December,Darebin,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,6
2023,December,Darebin,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,11
2023,December,Darebin,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,35
2023,December,Darebin,C30 Drug use and possession,C31 Drug use,Amphetamine,1
