Year,Year ending,Local Government Area,Investigation Status,Offence Count
2022,December,Golden Plains,Not authorised,36
2022,December,Golden Plains,Other,30
2022,December,Golden Plains,Unsolved,264
2022,December,Greater Bendigo,Arrest/Summons,5554
2022,December,Greater Bendigo,Not authorised,599
2022,December,Greater Bendigo,Other,1029
2022,December,Greater Bendigo,Unsolved,3285
2022,December,Greater Dandenong,Arrest/Summons,8943
2022,December,Greater Dandenong,Not authorised,1227
2022,December,Greater Dandenong,Other,1187
2022,December,Greater Dandenong,Unsolved,5659
2022,December,Greater Geelong,Arrest/Summons,10542
2022,December,Greater Geelong,Not authorised,1282
2022,December,Greater Geelong,Other,1410
2022,December,Greater Geelong,Unsolved,6641
2022,December,Greater Shepparton,Arrest/Summons,5579
2022,December,Greater Shepparton,Not authorised,535
2022,December,Greater Shepparton,Other,772
2022,December,Greater Shepparton,Unsolved,2035
2022,December,Hepburn,Arrest/Summons,281
2022,December,Hepburn,Not authorised,27
2022,December,Hepburn,Other,30
2022,December,Hepburn,Unsolved,282
2022,December,Hindmarsh,Arrest/Summons,120
2022,December,Hindmarsh,Not authorised,26
2022,December,Hindmarsh,Other,35
2022,December,Hindmarsh,Unsolved,84
2022,December,Hobsons Bay,Arrest/Summons,2647
2022,December,Hobsons Bay,Not authorised,429
2022,December,Hobsons Bay,Other,434
2022,December,Hobsons Bay,Unsolved,2425
2022,December,Horsham,Arrest/Summons,1502
2022,December,Horsham,Not authorised,208
2022,December,Horsham,Other,220
2022,December,Horsham,Unsolved,456
2022,December,Hume,Arrest/Summons,9696
2022,December,Hume,Not authorised,1474
2022,December,Hume,Other,1423
2022,December,Hume,Unsolved,5593
2022,December,Indigo,Arrest/Summons,354
2022,December,Indigo,Not authorised,31
2022,December,Indigo,Other,82
2022,December,Indigo,Unsolved,263
2022,December,Kingston,Arrest/Summons,5079
2022,December,Kingston,Not authorised,763
2022,December,Kingston,Other,919
2022,December,Kingston,Unsolved,3933
2022,December,Knox,Arrest/Summons,4764
2022,December,Knox,Not authorised,915
2022,December,Knox,Other,830
2022,December,Knox,Unsolved,2624
2022,December,Latrobe,Arrest/Summons,6840
2022,December,Latrobe,Not authorised,1021
2022,December,Latrobe,Other,1152
2022,December,Latrobe,Unsolved,2173
2022,December,Loddon,Arrest/Summons,230
2022,December,Loddon,Not authorised,31
2022,December,Loddon,Other,50
2022,December,Loddon,Unsolved,146
2022,December,Macedon Ranges,Arrest/Summons,974
2022,December,Macedon Ranges,Not authorised,152
2022,December,Macedon Ranges,Other,194
2022,December,Macedon Ranges,Unsolved,707
2022,December,Manningham,Arrest/Summons,1595
2022,December,Manningham,Not authorised,266
2022,December,Manningham,Other,391
2022,December,Manningham,Unsolved,1559
2022,December,Mansfield,Arrest/Summons,189
2022,December,Mansfield,Not authorised,24
2022,December,Mansfield,Other,46
2022,December,Mansfield,Unsolved,123
2022,December,Maribyrnong,Arrest/Summons,3676
2022,December,Maribyrnong,Not authorised,420
2022,December,Maribyrnong,Other,572
2022,December,Maribyrnong,Unsolved,3998
2022,December,Maroondah,Arrest/Summons,4562
2022,December,Maroondah,Not authorised,559
2022,December,Maroondah,Other,753
2022,December,Maroondah,Unsolved,1651
2022,December,Melbourne,Arrest/Summons,17141
2022,December,Melbourne,Not authorised,1344
2022,December,Melbourne,Other,3180
2022,December,Melbourne,Unsolved,12882
2022,December,Melton,Arrest/Summons,6246
2022,December,Melton,Not authorised,770
2022,December,Melton,Other,734
2022,December,Melton,Unsolved,4286
2022,December,Merri-bek,Arrest/Summons,4965
2022,December,Merri-bek,Not authorised,720
2022,December,Merri-bek,Other,744
2022,December,Merri-bek,Unsolved,5497
2022,December,Mildura,Arrest/Summons,4117
2022,December,Mildura,Not authorised,558
2022,December,Mildura,Other,857
2022,December,Mildura,Unsolved,1837
2022,December,Mitchell,Arrest/Summons,2358
2022,December,Mitchell,Not authorised,336
2022,December,Mitchell,Other,331
2022,December,Mitchell,Unsolved,843
2022,December,Moira,Arrest/Summons,1180
2022,December,Moira,Not authorised,114
2022,December,Moira,Other,161
2022,December,Moira,Unsolved,593
2022,December,Monash,Arrest/Summons,5027
2022,December,Monash,Not authorised,729
2022,December,Monash,Other,749
2022,December,Monash,Unsolved,5277
2022,December,Moonee Valley,Arrest/Summons,3542
2022,December,Moonee Valley,Not authorised,489
2022,December,Moonee Valley,Other,582
2022,December,Moonee Valley,Unsolved,2956
2022,December,Moorabool,Arrest/Summons,1116
2022,December,Moorabool,Not authorised,110
2022,December,Moorabool,Other,145
2022,December,Moorabool,Unsolved,654
2022,December,Mornington Peninsula,Arrest/Summons,4538
2022,December,Mornington Peninsula,Not authorised,858
2022,December,Mornington Peninsula,Other,919
2022,December,Mornington Peninsula,Unsolved,2978
2022,December,Mount Alexander,Arrest/Summons,480
2022,December,Mount Alexander,Not authorised,61
2022,December,Mount Alexander,Other,90
2022,December,Mount Alexander,Unsolved,292
2022,December,Moyne,Arrest/Summons,354
2022,December,Moyne,Not authorised,50
2022,December,Moyne,Other,67
2022,December,Moyne,Unsolved,188
2022,December,Murrindindi,Arrest/Summons,358
2022,December,Murrindindi,Not authorised,104
2022,December,Murrindindi,Other,74
2022,December,Murrindindi,Unsolved,214
2022,December,Nillumbik,Arrest/Summons,651
2022,December,Nillumbik,Not authorised,191
2022,December,Nillumbik,Other,174
2022,December,Nillumbik,Unsolved,575
2022,December,Northern Grampians,Arrest/Summons,532
2022,December,Northern Grampians,Not authorised,87
2022,December,Northern Grampians,Other,127
2022,December,Northern Grampians,Unsolved,237
2022,December,Port Phillip,Arrest/Summons,5245
2022,December,Port Phillip,Not authorised,671
2022,December,Port Phillip,Other,955
2022,December,Port Phillip,Unsolved,5727
2022,December,Pyrenees,Arrest/Summons,185
2022,December,Pyrenees,Not authorised,22
2022,December,Pyrenees,Other,22
2022,December,Pyrenees,Unsolved,143
2022,December,Queenscliffe,Arrest/Summons,31
2022,December,Queenscliffe,Not authorised,3
2022,December,Queenscliffe,Other,12
2022,December,Queenscliffe,Unsolved,63
2022,December,South Gippsland,Arrest/Summons,1113
2022,December,South Gippsland,Not authorised,164
2022,December,South Gippsland,Other,175
2022,December,South Gippsland,Unsolved,490
2022,December,Southern Grampians,Arrest/Summons,884
2022,December,Southern Grampians,Not authorised,78
2022,December,Southern Grampians,Other,110
2022,December,Southern Grampians,Unsolved,185
2022,December,Stonnington,Arrest/Summons,4665
2022,December,Stonnington,Not authorised,581
2022,December,Stonnington,Other,1032
2022,December,Stonnington,Unsolved,5036
2022,December,Strathbogie,Arrest/Summons,345
2022,December,Strathbogie,Not authorised,49
2022,December,Strathbogie,Other,40
2022,December,Strathbogie,Unsolved,177
2022,December,Surf Coast,Arrest/Summons,404
2022,December,Surf Coast,Not authorised,108
2022,December,Surf Coast,Other,119
2022,December,Surf Coast,Unsolved,444
2022,December,Swan Hill,Arrest/Summons,1335
2022,December,Swan Hill,Not authorised,199
2022,December,Swan Hill,Other,204
2022,December,Swan Hill,Unsolved,336
2022,December,Towong,Arrest/Summons,60
2022,December,Towong,Not authorised,19
2022,December,Towong,Other,22
2022,December,Towong,Unsolved,58
2022,December,Wangaratta,Arrest/Summons,1416
2022,December,Wangaratta,Not authorised,187
2022,December,Wangaratta,Other,309
2022,December,Wangaratta,Unsolved,536
2022,December,Warrnambool,Arrest/Summons,1888
2022,December,Warrnambool,Not authorised,178
2022,December,Warrnambool,Other,296
2022,December,Warrnambool,Unsolved,571
2022,December,Wellington,Arrest/Summons,2555
2022,December,Wellington,Not authorised,517
2022,December,Wellington,Other,426
2022,December,Wellington,Unsolved,983
2022,December,West Wimmera,Arrest/Summons,47
2022,December,West Wimmera,Not authorised,10
2022,December,West Wimmera,Other,16
2022,December,West Wimmera,Unsolved,44
2022,December,Whitehorse,Arrest/Summons,3348
2022,December,Whitehorse,Not authorised,513
2022,December,Whitehorse,Other,664
2022,December,Whitehorse,Unsolved,3408
2022,December,Whittlesea,Arrest/Summons,6351
2022,December,Whittlesea,Not authorised,1500
2022,December,Whittlesea,Other,1002
2022,December,Whittlesea,Unsolved,3624
2022,December,Wodonga,Arrest/Summons,1820
2022,December,Wodonga,Not authorised,219
2022,December,Wodonga,Other,311
2022,December,Wodonga,Unsolved,1285
2022,December,Wyndham,Arrest/Summons,8411
2022,December,Wyndham,Not authorised,1010
2022,December,Wyndham,Other,1335
2022,December,Wyndham,Unsolved,6892
2022,December,Yarra,Arrest/Summons,5994
2022,December,Yarra,Not authorised,634
2022,December,Yarra,Other,661
2022,December,Yarra,Unsolved,5546
2022,December,Yarra Ranges,Arrest/Summons,3541
2022,December,Yarra Ranges,Not authorised,734
2022,December,Yarra Ranges,Other,835
2022,December,Yarra Ranges,Unsolved,1863
2022,December,Yarriambiack,Arrest/Summons,256
2022,December,Yarriambiack,Not authorised,48
2022,December,Yarriambiack,Other,38
2022,December,Yarriambiack,Unsolved,110
2021,December,Alpine,Arrest/Summons,308
2021,December,Alpine,Not authorised,49
2021,December,Alpine,Other,92
2021,December,Alpine,Unsolved,104
2021,December,Ararat,Arrest/Summons,1070
2021,December,Ararat,Not authorised,123
2021,December,Ararat,Other,154
2021,December,Ararat,Unsolved,244
2021,December,Ballarat,Arrest/Summons,4924
2021,December,Ballarat,Not authorised,493
2021,December,Ballarat,Other,722
2021,December,Ballarat,Unsolved,4000
2021,December,Banyule,Arrest/Summons,3981
2021,December,Banyule,Not authorised,613
2021,December,Banyule,Other,410
2021,December,Banyule,Unsolved,2347
2021,December,Bass Coast,Arrest/Summons,1753
2021,December,Bass Coast,Not authorised,376
2021,December,Bass Coast,Other,284
2021,December,Bass Coast,Unsolved,731
2021,December,Baw Baw,Arrest/Summons,2582
2021,December,Baw Baw,Not authorised,412
2021,December,Baw Baw,Other,451
2021,December,Baw Baw,Unsolved,987
2021,December,Bayside,Arrest/Summons,1618
2021,December,Bayside,Not authorised,349
2021,December,Bayside,Other,326
2021,December,Bayside,Unsolved,2005
2021,December,Benalla,Arrest/Summons,807
2021,December,Benalla,Not authorised,142
2021,December,Benalla,Other,167
2021,December,Benalla,Unsolved,307
2021,December,Boroondara,Arrest/Summons,3008
2021,December,Boroondara,Not authorised,401
2021,December,Boroondara,Other,484
2021,December,Boroondara,Unsolved,3555
2021,December,Brimbank,Arrest/Summons,8281
2021,December,Brimbank,Not authorised,975
2021,December,Brimbank,Other,906
2021,December,Brimbank,Unsolved,6832
2021,December,Buloke,Arrest/Summons,147
2021,December,Buloke,Not authorised,24
2021,December,Buloke,Other,40
2021,December,Buloke,Unsolved,75
2021,December,Campaspe,Arrest/Summons,1604
2021,December,Campaspe,Not authorised,239
2021,December,Campaspe,Other,422
2021,December,Campaspe,Unsolved,1020
2021,December,Cardinia,Arrest/Summons,3129
2021,December,Cardinia,Not authorised,612
2021,December,Cardinia,Other,595
2021,December,Cardinia,Unsolved,2084
2021,December,Casey,Arrest/Summons,9518
2021,December,Casey,Not authorised,2121
2021,December,Casey,Other,1391
2021,December,Casey,Unsolved,6756
2021,December,Central Goldfields,Arrest/Summons,549
2021,December,Central Goldfields,Not authorised,121
2021,December,Central Goldfields,Other,163
2021,December,Central Goldfields,Unsolved,251
2021,December,Colac-Otway,Arrest/Summons,815
2021,December,Colac-Otway,Not authorised,135
2021,December,Colac-Otway,Other,268
2021,December,Colac-Otway,Unsolved,333
2021,December,Corangamite,Arrest/Summons,530
2021,December,Corangamite,Not authorised,36
2021,December,Corangamite,Other,65
2021,December,Corangamite,Unsolved,237
2021,December,Darebin,Arrest/Summons,6076
2021,December,Darebin,Not authorised,883
2021,December,Darebin,Other,824
2021,December,Darebin,Unsolved,4858
2021,December,East Gippsland,Arrest/Summons,2616
2021,December,East Gippsland,Not authorised,658
2021,December,East Gippsland,Other,551
